Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20151026,B00P08LJ20,2,0,1,"on October 26, 2015",ANONYMOUS,Get a new WB350 for nearly the same price.,"Wifi connection not a good as the WB250 OR WB 350, will not direct link with the computer but does great job linking to my I-phone to use as a remote shutter release.  I wore out my WB250 over 2 years of constant use, however I do not think this WB1100 is going to outlast the WB250.  I started getting flash and white out on the display screen, the WB1100 is starting to show a similar screen white out and I've only had it for 2 months.  I have a feeling that the unit which was reconditioned and certified by olympus was not fully certified.<br />  I have not notified the company that sold the unit, I don't think it is their fault however I wish I had spent $30.00 more to get the WB350 OR WB360 model, My wife has the WB350 and it is great.  I wanted the long some on the WB1100."
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20151021,B00P08LJ20,5,0,0,"on October 21, 2015",ANONYMOUS,Sweet camera...no battery compartment!,Took this camera to Israel with me this month. It takes great pics and was very easy to use. It also has a solid feel which I enjoyed. My only concern was that it has no battery compartment/option. That was my fault though for not checking prior to purchasing this model. It kept dying on me...fortunately I had a portable battery charger with me!
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20151021,B00P08LJ20,5,0,0,"on October 21, 2015",ANONYMOUS,More than what I expected.,Love it! Definitely worth the money.
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20151021,B00P08LJ20,4,0,0,"on October 21, 2015",ANONYMOUS,Good beginner's/low tech camera,"This is a good, practical camera for those just starting out in photography or persons who don't need anyrhung too high tech. It takes good, clear pictures both at night and in the daytime. It really helps if you know what modes to select based on your environment and if you know about white balance, aperture etc. However, the auto mode works fairly well if you don't know about all of that. The best feature of this camera in my opinion is the lens. The zoom is great. Usually when you take zoomed in pictures, they tend to be of low quality, highlt pixelated and distorted but this rarely happens with this camera. It is good for wildlife photography, especially if you are photographing a particularly fidgety subject as it has a sport settung which is good for capturing fast moving things. Like I said, this is a good starter camera and great for practical learning."
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20151019,B00P08LJ20,4,1,1,"on October 19, 2015",ANONYMOUS,Works great! Setup was easy too,Works great!  Setup was easy too.
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20151015,B00P08LJ20,2,0,0,"on October 15, 2015",ANONYMOUS,Two Stars,"Disappointed in the night shots, and sunsets"
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20151013,B00P08LJ20,4,0,0,"on October 13, 2015",ANONYMOUS,Very pleased,I am extremely happy with this camera. I love everything about the photos it takes!<br /><br />I gave you four stars because of the delay between shots. Only downside to this camera!
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20151008,B00P08LJ20,4,0,0,"on October 8, 2015",ANONYMOUS,Good starter DSLR,"I bought this camera for my mom's birthday. She's always wanted a good DSLR camera, and this one didn't disappoint. It takes great photos with plenty of natural light displayed in the photos. The processing is spot on, both mechanical and digital. She hasn't really used it during the evening, but she has used her flash and it's fantastic. A little bright at times but it's a flash, so what are ya gonna do?<br /><br />The only problem with this camera is the battery. Each time the camera's done charging the camera won't turn on. I have to take out the battery and reinsert it so the camera would at least power on. It's done this since first boot. The battery life isn't that good either. It says that you can take like 400 photos before the camera turns off. She's experienced like 150 to 200 photos before it turns off. There was also no setup process. I don't know if that's an issue or not, but my mom thought there was something wrong with it when she noticed.<br /><br />But with all that aside, it's a good camera if you're just starting out in the DSLR game. I'd recommend this to anyone looking for a decent camera that's not too expensive but still takes great photos."
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20151005,B00P08LJ20,5,0,0,"on October 5, 2015",ANONYMOUS,A++++++ Great easy to use with great zoom,A++++++<br />Great easy to use with great zoom. EZ mode or set it yourself. Wifi to FB or other.
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20151002,B00P08LJ20,5,0,0,"on October 2, 2015",ANONYMOUS,Five Stars,Como I liked it
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20150305,B00P08LJ20,5,27,29,"on March 5, 2015",ANONYMOUS,I love it use it all the time no problems,My husband bought this camera for me. I love it use it all the time no problems. I live the moon and with this camera I can bring  the moon to me with every indentations on it.
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20150117,B00P08LJ20,5,10,11,"on January 17, 2015",ANONYMOUS,Good Digital Camera for this price range,Got this for my daughter as she wanted a good digital camera. Has a lot features and very easy to use even without the manual. Took me like two minutes and I showing her how to use different features. She did have a small complaint about the speed of the camera but said is wasn't that big of a deal.
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20150110,B00P08LJ20,1,3,5,"on January 10, 2015",ANONYMOUS,It does not work properly. Problems with the last ...,It does not work properly . Problems with the last firmware. Does not get connection with wifi
Samsung,"Samsung WB1100F 16.2MP CCD Smart WiFi &amp; NFC Digital Camera with 35x Optical Zoom, 3.0&#034; LCD and 720p HD Video (Red) (Certified Refurbished)",20150104,B00P08LJ20,2,3,5,"on January 4, 2015",ANONYMOUS,would look for a different camera.....would not recommend this one,"I was very disappointed with this camera. I bought this camera because my son was graduating from Marine Corp boot camp.  Every picture taken has a pink strip at top of every one......even with cropping or enlarging. Those once in a lifetime picures.....ruined!!!  I even researched this camera extensively before buying, with no mentiin of pink strip in pictures."
